protein	gene
P64545	yfgG
P64548	yfiR
P64550	alaE
P64554	queE
P64557	ygfM
P64559	sdhE
P64562	yqfE
P64564	yggT
P64567	yqgB
P64570	yqgC
P64572	yghR
P64574	yghW
P64578	higB
P64581	yqjD
P64585	yqjE
P64588	yqjI
P64590	yhaH
P64592	yhaI
P64594	yhaV
P64596	yraP
P64599	yhbT
P64602	mlaB
P64604	mlaD
P64606	mlaE
P64610	yrbL
P64612	zapE
P64614	yhcN
P64616	yhcO
P64619	yhdU
P64622	yhdV
P64624	yheO
P64627	yhfL
P64631	yhfU
P64634	hofN
P64636	yrfG
P64638	feoC
P64646	ghoT
P65290	yfgH
P65292	ygdI
P65294	ygdR
P65298	yqhH
P65367	yqcA
P65556	yfcD
P65643	eutT
P65807	ygeY
P65870	queD
P66817	diaA
P66899	ygeX
P66948	bepA
P67080	yggS
P67087	rsmI
P67095	yfcE
P67127	ygdQ
P67143	yhgN
P67153	yqfA
P67244	yqhA
P67338	yoaH
P67430	nemR
P67444	xanQ
P67553	ynfC
P67601	yobD
P67603	yqfB
P67624	yheU
P67660	yhaJ
P67662	aaeR
P67697	hicB
P67699	yddM
P67729	yfeO
P67762	yhbP
P67826	cutC
P67910	hldD
P68066	grcA
P68183	malG
P68187	malK
P68191	sra
P68206	yjbJ
P68567	rsmJ
P68644	fixC
P68646	fixX
P68661	ybcO
P68688	grxA
P68699	atpE
P68739	nfi
P68767	pepA
P69054	sdhC
P69210	mdtI
P69212	mdtJ
P69228	baeR
P69330	citD
P69346	yefM
P69348	yoeB
P69367	mdtH
P69380	fieF
P69411	rcsF
P69423	tatC
P69425	tatB
P69428	tatA
P69432	pgaD
P69434	pgaA
P69451	fadD
P69488	cutA
P69490	ccmE
P69503	apt
P69506	ytfE
P69681	amtB
P69739	hyaA
P69741	hybO
P69776	lpp
P69783	crr
P69786	ptsG
P69789	glvB
P69791	chbA
P69795	chbB
P69797	manX
P69801	manY
P69805	manZ
P69808	fryB
P69811	fruB
P69816	frwB
P69820	ulaC
P69822	ulaB
P69824	cmtB
P69826	cmtA
P69828	gatA
P69829	ptsN
P69831	gatC
P69853	dmsD
P69856	nanC
P69874	potA
P69902	frc
P69908	gadA
P69910	gadB
P69922	fucI
P69937	sugE
P71229	hyfR
P71237	wcaC
P71238	wcaD
P71239	wcaE
P71241	wcaJ
P71242	wcaK
P71243	wcaL
P71244	wcaM
P71296	yagM
P71297	yagN
P71298	intF
P71301	ecpR
P71311	yaiS
P75616	yaaX
P75617	yaaW
P75620	yaaY
P75672	yafS
P75675	ykfJ
P75676	yafX
P75677	ykfF
P75678	ykfA
P75679	insN1
P75680	insO1
P75681	afuB
P75682	yagE
P75683	yagG
P75684	yagP
P75685	rclC
P75687	rclB
P75688	b0309
P75691	yahK
P75692	yahM
P75693	yahN
P75694	yahO
P75697	yaiX
P75704	ykiA
P75711	ybbV
P75712	ybbW
P75713	allE
P75715	sfmH
P75717	exoD
P75718	renD
P75719	rzpD
P75726	citF
P75728	ubiF
P75733	chiP
P75734	chiQ
P75736	ybfF
P75737	ybfP
P75741	ybfL
P75742	dtpD
P75745	ybgK
P75746	ybgL
P75747	abrB
P75748	ybgO
P75749	ybgP
P75750	ybgQ
P75757	zitB
P75763	ybhI
P75764	ybhJ
P75767	ybhK
P75769	ybhM
P75770	ybhN
P75777	ybhG
P75779	ybiX
P75780	fiu
P75782	rlmF
P75783	ybiO
P75785	opgE
P75788	ybiR
P75791	ybiU
P75792	ybiV
P75793	ybiW
P75794	ybiY
P75796	gsiA
P75797	gsiB
P75798	gsiC
P75799	gsiD
P75800	pdeI
P75801	dgcI
P75804	yliI
P75806	ybjG
P75809	ybjI
P75810	ybjJ
P75811	rcdA
P75817	rlmC
P75818	ybjP
P75820	amiD
P75821	ybjS
P75822	ybjT
P75823	ltaE
P75824	hcr
P75825	hcp
P75826	lysO
P75828	ybjD
P75829	ybjX
P75830	macA
P75831	macB
P75835	ycaM
P75836	ycaN
P75838	ycaO
P75839	ycaP
P75843	ycaQ
P75849	gloC
P75851	ssuC
P75853	ssuA
P75855	elfA
P75856	elfD
P75857	elfC
P75858	elfG
P75859	ycbU
P75860	ycbV
P75862	zapC
P75863	ycbX
P75864	rlmL
P75867	ycbZ
P75869	sxy
P75870	yccS
P75874	yccU
P75876	rlmI
P75882	gfcD
P75883	gfcC
P75884	gfcB
P75885	gfcA
P75892	rutG
P75893	rutF
P75894	rutE
P75895	rutD
P75897	rutB
P75898	rutA
P75901	efeU
P75905	pgaC
P75906	pgaB
P75908	dgcT
P75910	ycdU
P75913	ghrA
P75914	ycdX
P75915	ycdY
P75916	ycdZ
P75917	ymdA
P75919	clsC
P75920	mdoC
P75925	yceJ
P75931	yceM
P75933	flgA
P75936	flgD
P75937	flgE
P75938	flgF
P75942	flgJ
P75946	ycfL
P75948	thiK
P75949	nagZ
P75952	comR
P75954	ycfS
P75955	ycfT
P75959	nagK
P75960	cobB
P75961	ycfZ
P75962	ymfA
P75966	rluE
P75967	ymfD
P75969	intE
P75970	xisE
P75971	b1142
P75972	ymfI
P75973	ymfJ
P75975	croE
P75976	ymfL
P75977	ymfM
P75978	ymfN
P75979	ymfR
P75980	beeE
P75981	jayE
P75982	ymfQ
P75988	ycgX
P75989	bluR
P75990	bluF
P75991	ycgZ
P75992	ymgA
P75993	ariR
P75994	ymgC
P75995	pdeG
P76000	ycgI
P76001	ycgJ
P76002	pliG
P76004	ycgM
P76007	cvrA
P76008	ldcA
P76010	ycgR
P76011	ymgE
P76012	ycgY
P76014	dhaL
P76015	dhaK
P76016	dhaR
P76017	ycgV
P76023	ychS
P76027	oppD
P76034	yciT
P76035	yciW
P76037	puuP
P76038	puuD
P76041	ycjM
P76042	ycjN
P76043	ycjQ
P76044	ycjR
P76045	ompG
P76046	ycjX
P76049	ycjY
P76052	abgB
P76053	smrA
P76055	ttcA
P76056	intR
P76057	ydaQ
P76061	ydaG
P76064	ydaT
P76065	ydaU
P76066	ydaW
P76068	ynaK
P76069	ydaY
P76071	insH5
P76072	stfR
P76073	ynaE
P76076	ydbL
P76077	paaA
P76078	paaB
P76079	paaC
P76080	paaD
P76081	paaE
P76082	paaF
P76083	paaH
P76084	paaI
P76085	paaK
P76086	paaX
P76090	ynbA
P76091	ynbB
P76092	ynbC
P76093	ynbD
P76096	mokB
P76097	ydcJ
P76100	ydcK
P76102	insQ
P76103	ydcO
P76104	ydcP
P76106	hicA
P76108	ydcS
P76111	ydcZ
P76112	mnaT
P76113	curA
P76114	mcbR
P76115	yncD
P76116	yncE
P76117	yncG
P76119	yncI
P76121	yddH
P76122	yddJ
P76123	yddK
P76127	bdm
P76128	ddpA
P76129	dosP
P76134	ydeM
P76135	ydeO
P76137	ydeT
P76138	yneL
P76141	lsrR
P76142	lsrB
P76143	lsrF
P76145	tam
P76146	yneE
P76147	dgcF
P76148	yneG
P76149	sad
P76150	yneK
P76154	ydfK
P76155	tfaQ
P76157	ynfN
P76158	rzpQ
P76159	rrrQ
P76160	ydfR
P76161	quuQ
P76162	ydfU
P76163	ydfV
P76164	ydfW
P76165	ydfX
P76168	intQ
P76169	ynfA
P76170	ynfB
P76172	ynfD
P76173	ynfH
P76175	clcB
P76176	ydgD
P76177	ydgH
P76180	ydgK
P76182	rsxD
P76185	ydhJ
P76186	ydhK
P76187	ydhF
P76190	mepH
P76192	ydhV
P76193	ynhG
P76194	sufE
P76196	ydiL
P76197	ydiM
P76198	ydiN
P76201	ydiQ
P76204	ydiV
P76205	arpB
P76206	ydiY
P76208	yniB
P76210	ydjO
P76213	cho
P76214	ves
P76215	astE
P76216	astB
P76217	astD
P76219	ydjX
P76220	ydjY
P76221	ydjZ
P76222	ynjA
P76223	ynjB
P76224	ynjC
P76226	ynjF
P76227	ynjH
P76228	ynjI
P76230	ydjK
P76231	yeaC
P76234	yeaE
P76235	yeaH
P76236	cdgI
P76237	dgcJ
P76239	yoaI
P76241	nimR
P76242	nimT
P76243	yeaO
P76245	dgcP
P76249	leuE
P76250	dmlR
P76251	dmlA
P76254	yeaX
P76257	yoaA
P76261	pdeD
P76264	mntP
P76268	kdgR
P76269	yebQ
P76270	msrC
P76272	yebT
P76273	rsmF
P76275	yebW
P76278	yebZ
P76280	yobB
P76290	cmoA
P76291	cmoB
P76296	yecT
P76297	flhE
P76298	flhA
P76299	flhB
P76308	yecR
P76316	dcyD
P76318	yedK
P76319	yedL
P76322	yedM
P76323	intG
P76329	yedP
P76330	dgcQ
P76334	yedR
P76335	yedS
P76339	yedV
P76340	yedW
P76341	hiuH
P76342	msrP
P76343	msrQ
P76344	zinT
P76345	yodB
P76346	mtfA
P76347	yeeJ
P76349	yeeL
P76350	shiA
P76352	yeeO
P76356	yoeA
P76359	yeeP
P76361	yeeR
P76362	yeeS
P76364	cbeA
P76369	yeeY
P76372	wzzB
P76373	ugd
P76387	wzc
P76389	yegH
P76393	yegI
P76394	yegJ
P76395	yegK
P76396	yegL
P76397	mdtA
P76398	mdtB
P76399	mdtC
P76402	yegP
P76403	yegQ
P76406	yegR
P76407	yegS
P76417	yegT
P76418	yegU
P76419	yegV
P76421	yegX
P76422	thiD
P76423	thiM
P76425	rcnA
P76440	preT
P76445	lpxT
P76446	pdeN
P76458	atoD
P76459	atoA
P76460	atoE
P76461	atoB
P76462	yfaP
P76463	yfaQ
P76464	yfaS
P76466	yfaT
P76469	rhmA
P76470	rhmT
P76471	yfaZ
P76472	arnD
P76473	arnT
P76474	arnF
P76481	yfbK
P76482	yfbL
P76483	yfbM
P76484	yfbN
P76485	yfbO
P76486	yfbP
P76491	yfbR
P76498	yfcO
P76499	yfcP
P76500	yfcQ
P76501	yfcR
P76502	sixA
P76503	fadI
P76505	yfdF
P76506	mlaA
P76507	yfdI
P76508	yfdL
P76509	yfdM
P76510	yfdN
P76512	yfdP
P76513	yfdQ
P76514	yfdR
P76515	yfdS
P76516	yfdT
P76518	yfdE
P76520	yfdX
P76521	yfdY
P76524	ypdF
P76535	murQ
P76536	yfeX
P76537	yfeY
P76538	yfeZ
P76539	ypeA
P76540	eutK
P76541	eutL
P76542	intZ
P76543	yffL
P76544	yffM
P76545	yffN
P76546	yffO
P76547	yffP
P76548	yffQ
P76549	yffR
P76551	eutA
P76552	eutH
P76553	eutG
P76555	eutQ
P76556	eutP
P76558	maeB
P76559	ypfG
P76561	ypfH
P76562	tmcA
P76569	yfgD
P76573	yfgI
P76575	yfgJ
P76576	yfgM
P76577	pbpC
P76578	yfhM
P76584	yphB
P76585	yphG
P76586	yphH
P76594	pka
P76611	pinH
P76612	ypjB
P76613	ypjC
P76616	ygaQ
P76621	csiD
P76628	ygaY
P76630	ygaZ
P76632	casB
P76633	ygcW
P76639	ygeH
P76641	guaD
P76655	yqiG
P76656	yqiI
P76657	yqiJ
P76658	hldE
P76692	yzgL
P76773	ompL
P76909	ynjD
P76938	epmC
P77031	yqcE
P77044	mhpC
P77087	tfaX
P77091	hokE
P77129	ylbE
P77136	yqeK
P77147	ydhT
P77148	ydhS
P77150	pdxY
P77154	ycjT
P77156	ydcU
P77161	glxR
P77162	ykfB
P77163	tfaR
P77165	yagT
P77169	yagJ
P77170	pinQ
P77171	ydcI
P77172	pdeF
P77174	ybdM
P77179	rsxE
P77180	ykgH
P77181	paaY
P77182	mnmC
P77183	yagQ
P77184	lomR
P77187	yahF
P77188	ecpB
P77196	yfcU
P77199	yaiT
P77202	dsbG
P77206	yafZ
P77211	cusC
P77212	rclA
P77213	ybdK
P77214	cusF
P77215	rhmD
P77216	ybdN
P77218	eutD
P77219	yahC
P77221	yahG
P77223	rsxB
P77228	ydfJ
P77231	citG
P77234	ybeQ
P77237	essQ
P77239	cusB
P77243	prpD
P77245	murR
P77247	hxpB
P77249	sfmC
P77252	ykgE
P77256	ydjG
P77257	lsrA
P77258	nemA
P77260	ydfI
P77263	ecpE
P77265	mdlA
P77268	ddpD
P77269	yphF
P77272	murP
P77277	eutJ
P77279	fetA
P77280	ydjJ
P77285	rsxG
P77286	ydeU
P77288	yfcV
P77293	yfdH
P77294	ydeR
P77295	ygaV
P77296	ybeT
P77297	yahE
P77300	yagI
P77301	ybaP
P77302	dgcM
P77304	dtpA
P77306	yqiK
P77307	fetB
P77308	ddpB
P77309	yneJ
P77315	yphD
P77316	ybdR
P77318	ydeN
P77319	hscC
P77324	yagS
P77326	tfaS
P77328	ybbY
P77329	hyfG
P77330	borD
P77333	pgrR
P77334	pdeR
P77335	hlyE
P77337	ydiS
P77338	mscK
P77339	yafT
P77348	mppA
P77354	yafU
P77357	abgA
P77359	djlC
P77360	yphC
P77364	glxK
P77365	yafY
P77366	ycjU
P77368	ybcL
P77374	ynfE
P77375	ydhX
P77376	ydgJ
P77377	wzxC
P77378	ydiR
P77379	rclR
P77381	djlB
P77389	ydhP
P77390	citC
P77393	yahL
P77395	ybbN
P77396	ypdC
P77397	mhpA
P77398	arnA
P77399	fadJ
P77400	ybaT
P77402	ydiP
P77409	ydhU
P77414	wcaA
P77416	hyfD
P77423	hyfH
P77425	allC
P77427	ybeU
P77432	lsrK
P77433	ykgG
P77434	alaC
P77437	hyfF
P77439	fryA
P77444	sufS
P77445	eutE
P77453	hyfJ
P77454	glsA1
P77455	paaZ
P77460	ybcY
P77463	ddpC
P77467	paaG
P77468	sfmD
P77473	pdeB
P77475	yqaB
P77481	ycjV
P77485	cusS
P77489	yagR
P77493	ydjH
P77494	hokB
P77495	prpE
P77499	sufC
P77503	ycjS
P77504	ybbP
P77506	ybdJ
P77509	yphE
P77510	dpiB
P77515	stfQ
P77522	sufB
P77526	yfcG
P77528	peaD
P77529	ydjN
P77536	ykgF
P77538	yfhR
P77539	ydjL
P77541	prpB
P77544	yfcF
P77546	ydaV
P77549	yfcJ
P77551	rzpR
P77552	ydhQ
P77554	yahJ
P77555	allD
P77559	ynfL
P77561	ydeP
P77562	yaiW
P77564	ydhW
P77567	nhoA
P77569	mhpR
P77570	anmK
P77579	fryC
P77580	mhpF
P77581	astC
P77585	ypdE
P77588	ydeQ
P77589	mhpT
P77596	yagF
P77598	ybcV
P77599	yfcS
P77601	ykgA
P77607	yagL
P77608	mhpD
P77609	flxA
P77610	ansP
P77611	rsxC
P77615	ycjW
P77616	yqiH
P77619	yfeW
P77622	ddpF
P77624	yahI
P77625	hxpA
P77626	sutR
P77627	ybeR
P77634	ybcM
P77649	ydiU
P77650	hcaD
P77656	yfdK
P77657	yagK
P77658	ynaA
P77667	sufA
P77668	hyfI
P77671	allB
P77672	lsrC
P77674	prr
P77682	yfdG
P77688	ylbG
P77689	sufD
P77690	arnB
P77692	ykfI
P77694	ecpD
P77695	gnsB
P77698	ybcK
P77699	tfaD
P77700	yahB
P77704	ydjI
P77712	fadM
P77713	yagH
P77714	ydiT
P77716	ycjP
P77717	ybaY
P77718	thiI
P77721	ydjF
P77726	yajR
P77730	ydcR
P77731	allA
P77732	rhmR
P77733	focB
P77735	yajO
P77736	yahD
P77737	oppF
P77739	yniA
P77743	prpR
P77744	abgR
P77746	ybdO
P77747	ompN
P77748	ydiJ
P77754	spy
P77756	queC
P77757	arnC
P77759	ylbH
P77766	yciV
P77768	rpnB
P77774	bamB
P77775	yfcH
P77779	ybfO
P77781	menI
P77783	ynfF
P77788	nudG
P77789	ydeS
P77790	ddpX
P77791	maa
P77795	ydcT
P77802	ecpC
P77804	ydgA
P77806	ybdL
P77808	yfaY
P77858	hyfC
P78055	fsaA
P78061	puuA
P78067	ynjE
P78271	yfeS
P78285	rrrD
P80644	ssuE
P80645	ssuD
P80668	feaB
Q06065	atoC
Q06067	atoS
Q2EEP9	yafF
Q2EEQ2	ykgO
Q2EEQ3	yahH
Q2EEQ8	ybfQ
Q2EER5	ymjC
Q2EES0	ynfO
Q2EES1	yniD
Q2EES3	yoeF
Q2EES6	yohO
Q2EES9	torI
Q2EET0	ypdJ
Q2EET2	ypfN
Q2EEU2	yjhX
Q2M5U1	ytjA
Q2M7M3	ysaB
Q2M7R5	yibT
Q2M7X4	yicS
Q2MB16	yobH
Q46755	ychQ
Q46789	ygeI
Q46790	pbl
Q46791	ygeK
Q46795	ygeO
Q46796	ygeP
Q46797	ygeQ
Q46798	ygeR
Q46799	xdhA
Q46800	xdhB
Q46801	xdhC
Q46802	ygeV
Q46803	ygeW
Q46806	hyuA
Q46807	yqeA
Q46808	yqeB
Q46809	yqeC
Q46810	mocA
Q46811	ygfK
Q46812	ssnA
Q46814	xdhD
Q46817	ghxQ
Q46819	ygfS
Q46820	ygfT
Q46821	uacT
Q46822	idi
Q46824	ygfX
Q46829	bglA
Q46831	yqgA
Q46832	yghD
Q46833	yghE
Q46834	yghF
Q46835	yghG
Q46836	pppA
Q46839	glcA
Q46840	yghO
Q46841	yghQ
Q46843	yghS
Q46844	yghT
Q46845	yghU
Q46851	gpr
Q46855	yqhC
Q46856	yqhD
Q46857	dkgA
Q46858	yqhG
Q46861	ygiQ
Q46863	ygiS
Q46864	mqsA
Q46865	mqsR
Q46866	ygiV
Q46867	ygiZ
Q46868	yqiC
Q46871	yqjH
Q46877	norV
Q46888	ltnD
Q46889	otnK
Q46890	otnC
Q46891	otnI
Q46892	ygbN
Q46896	ygbT
Q46897	casE
Q46898	casD
Q46899	casC
Q46901	casA
Q46904	ygcN
Q46905	ygcO
Q46906	ygcP
Q46907	ygcQ
Q46908	ygcR
Q46909	ygcS
Q46911	ygcU
Q46915	gudX
Q46916	gudP
Q46919	yqcC
Q46920	queF
Q46925	csdA
Q46927	tcdA
Q46938	kduI
Q46939	yqeF
Q46941	yqeH
Q46942	yqeI
Q46943	yqeJ
Q46948	yajL
Q46953	ypjF
Q47005	nac
Q47013	elaD
Q47083	cbl
Q47129	feaR
Q47138	ydfE
Q47140	hcaF
Q47141	hcaR
Q47142	hcaT
Q47146	fadE
Q47147	yafJ
Q47149	yafQ
Q47150	dinJ
Q47151	yafL
Q47152	rayT
Q47153	lfhA
Q47154	lafU
Q47155	dinB
Q47156	yafN
Q47157	yafO
Q47158	yafP
Q47208	fdrA
Q47268	ylcH
Q47269	ybcN
Q47270	ninE
Q47272	ylcG
Q47274	quuD
Q47319	yfiP
Q47377	arnE
Q47534	yaiO
Q47536	yaiP
Q47537	tauA
Q47538	tauB
Q47539	tauC
Q47622	sapA
Q47679	yafV
Q47684	yafW
Q47685	ykfG
Q47688	ykfC
Q47689	mmuP
Q47690	mmuM
Q47702	yfeK
Q47706	uidC
Q47710	yqjK
Q47718	insO2
Q47719	b4286
Q57083	perR
Q57261	truD
Q59385	copA
Q6BEX0	ytfR
Q6BEX5	yjdP
Q6BF16	dgoA
Q6BF17	dgoD
Q6BF25	ldrD
Q6BF87	ldrB
Q79CP2	ygiA
Q79E92	ykgN
Q7DFU6	yghX
Q7DFV3	ymgG
Q7DFV4	ymdE
Q93K97	nudF
Q9XB42	ykfH
Q9Z3A0	yjgW
U3PVA8	iroK
V9HVX0	ypaA
