gene	b_name
b0100	b0100
b0105	b0105
b0165	b0165
b0309	b0309
b0538	b0538
b0609	b0609
b0725	b0725
b1052	b1052
b1354	b1354
b1364	b1364
b1367	b1367
b1425	b1425
b1437	b1437
b1903	b1903
b2084	b2084
b2191	b2191
b2596	b2596
b2651	b2651
b2653	b2653
b3004	b3004
b3007	b3007
b3254	b3254
b3975	b3975
b4247	b4247
b4250	b4250
3'ETS-leuZ	b4759
C0293	b4806
aaaE	b4693
aas	b2836
abgR	b1339
accA	b0185
aceE	b0114
aceF	b0115
aceK	b4016
aceK-int	b4830
ackA	b2296
acpP	b1094
ada	b2213
add	b1623
adiY	b4116
agp	b1002
agrA	b4712
agrB	b4713
ahpF	b0606
aidB	b4187
alaV	b0203
allZ	b4831
alpA	b2624
amn	b1982
ampD	b0110
ampE	b0111
ampG	b0433
ansA	b1767
ansB	b2957
apaG	b0050
appA	b0980
appY	b0564
apt	b0469
araA	b0062
araB	b0063
araC	b0064
araD	b0061
araE	b2841
araF	b1901
araG	b1900
araH	b1898
araH	b1899
araH	b4460
arcB	b3210
argB	b3959
argE	b3957
argF	b0273
argG	b3172
argH	b3960
argI	b4254
argL	b4766
argT	b2310
argW	b2348
argX	b3796
aroA	b0908
aroB	b3389
aroC	b2329
aroD	b1693
aroE	b3281
aroF	b2601
aroG	b0754
aroH	b1704
aroK	b3390
aroL	b0388
aroM	b0390
arrS	b4704
artI	b0863
artJ	b0860
artM	b0861
artP	b0864
artQ	b0862
asnA	b3744
asnB	b0674
asnC	b3743
asnT	b1977
asnU	b1986
asnV	b1989
asnW	b1984
aspA	b4139
aspC	b0928
aspU	b0206
aspV	b0216
aspX	b4825
asr	b1597
atoA	b2222
atoB	b2224
atoC	b2220
atoD	b2221
atoE	b2223
atoS	b2219
avtA	b3572
azuC	b4663
b0017	b0017
b0701	b0701
baeR	b2079
baeS	b2078
bax	b3570
baxL	b4794
bcp	b2480
betA	b0311
betB	b0312
betI	b0313
betT	b0314
bfr	b3336
bhsB	b4832
bioA	b0774
bioB	b0775
bioC	b0777
bioD	b0778
bioF	b0776
bisC	b3551
blr	b4409
bolA	b0435
btuC	b1711
btuD	b1709
btuE	b1710
cadB	b4132
cadC	b4133
caiE	b0035
caiF	b0034
cbl	b1987
cbpA	b1000
cca	b3056
cdd	b2143
cdh	b3918
chaA	b1216
chaB	b1217
chaC	b1218
cheA	b1888
cheB	b1883
cheW	b1887
cheY	b1882
cheZ	b1881
chiZ	b4808
cmtA	b2933
cobS	b1992
cobT	b1991
cobU	b1993
codA	b0337
codB	b0336
cof	b0446
corA	b3816
cpdB	b4213
cpxQ	b4716
crl	b0240
csgA	b1042
csgB	b1041
csgD	b1040
csgE	b1039
csgF	b1038
csgG	b1037
cspA	b3556
cspB	b1557
cspF	b1558
cspG	b0990
csrB	b4408
cutC	b1874
cyaY	b3807
cybB	b1418
cynR	b0338
cynT	b0339
cynX	b0341
cyoA	b0432
cyoB	b0431
cyoC	b0430
cyoD	b0429
cyoE	b0428
cysA	b2422
cysB	b1275
cysC	b2750
cysD	b2752
cysE	b3607
cysG	b3368
cysH	b2762
cysI	b2763
cysJ	b2764
cysM	b2421
cysN	b2751
cysP	b2425
cysT	b1910
cysW	b2423
cysZ	b2413
cytR	b3934
cyuA	b3109
cyuA	b3108
cyuA	b4470
dacB	b3182
dacC	b0839
dam	b3387
dapA	b2478
dapB	b0031
dapF	b3809
dcp	b1538
dctA	b3528
dcuC	b0621
ddlA	b0381
dedA	b2317
dedD	b2314
dgkA	b4042
dgoA	b3692
dgoA	b4477
dgoD	b3692
dgoD	b4478
dicF	b1574
dinF	b4044
dinI	b1061
dinQ	b4613
dmsA	b0894
dmsB	b0895
dmsC	b0896
dnaA	b3702
dnaN	b3701
dnaT	b4362
dppB	b3543
dppC	b3542
dppD	b3541
dsdA	b2366
dsdC	b2364
dsrA	b1954
dsrB	b1952
eaeH	b0297
ebgA	b3076
ebgC	b3077
ebgR	b3075
ecnA	b4410
edd	b1851
efp	b4147
elaD	b2269
emrA	b2685
emrB	b2686
emrK	b2368
emrY	b2367
endA	b2945
eno	b2779
entA	b0596
entD	b0583
entE	b0594
entF	b0586
envY	b0566
esrE	b4707
eutB	b2441
eutC	b2440
evgA	b2369
evgL	b4781
evgS	b2370
exbB	b3006
exbD	b3005
exuR	b3094
exuT	b3093
eyeA	b4690
fabA	b0954
fabG	b1093
fabH	b1091
fdhD	b3895
fdhE	b3891
fdnG	b1474
fdnH	b1475
fdnI	b1476
fdoG	b3894
fdoH	b3893
fdoI	b3892
fdx	b2525
fecA	b4291
fecB	b4290
fecC	b4289
fecD	b4288
fecE	b4287
fecI	b4293
fecR	b4292
feoA	b3408
feoB	b3409
fepB	b0592
fepC	b0588
fepD	b0590
fepE	b0587
fepG	b0589
fes	b0585
ffh	b2610
ffs	b0455
fhuB	b0153
fhuC	b0151
fhuD	b0152
fhuE	b1102
fimF	b4318
fimG	b4319
fimI	b4315
fldA	b0684
fldB	b2895
flgM	b1071
flgN	b1070
flgO	b4826
flhE	b1878
fliS	b1925
fliT	b1926
fliX	b4827
flxA	b1566
focB	b2492
folE	b2153
folK	b0142
folX	b2303
frdA	b4154
frdB	b4153
frdC	b4152
frdD	b4151
frlC	b3373
frlC	b3372
frlC	b4474
fruL	b0079
fsr	b0479
ftsE	b3463
ftsO	b4810
ftsQ	b0093
ftsW	b0089
ftsY	b3464
fucI	b2802
fucK	b2803
fucO	b2799
fucP	b2801
fucR	b2805
fucU	b2804
fumA	b1612
fumB	b4122
fumC	b1611
fur	b0683
gabD	b2661
gabP	b2663
gabT	b2662
gadB	b1493
gadF	b4718
galM	b0756
gapC	b1416
gapC	b1417
gapC	b4493
gatA	b2094
gatB	b2093
gatC	b2092
gatD	b2091
gatR	b2090
gatR	b2087
gatR	b4498
gatZ	b2095
gcd	b0124
gcl	b0507
gcvA	b2808
gcvP	b2903
gcvT	b2905
gdhA	b1761
ggt	b3447
ghxQ	b2885
ghxQ	b2884
ghxQ	b4464
gldA	b3945
glgA	b3429
glgB	b3432
glgC	b3430
glgX	b3431
glk	b2388
glmS	b3729
glnA	b3870
glnB	b2553
glnE	b3053
glnH	b0811
glnP	b0810
glnQ	b0809
glnS	b0680
gloA	b1651
glpA	b2241
glpC	b2243
glpE	b3425
glpF	b3927
glpG	b3424
glpK	b3926
glpQ	b2239
glpR	b3423
glpT	b2240
glpX	b3925
gltJ	b0654
gltK	b0653
gltL	b0652
gltP	b4077
gltW	b2590
glvG	b3681 (obsolete)
glvG	b4556
glyA	b2551
glyS	b3559
gnd	b2029
gntK	b3437
gntR	b3438
gntU	b3435
gntU	b3436
gntU	b4476
gpsA	b3608
greA	b3181
greB	b3406
grpE	b2614
grxB	b1064
gsk	b0477
guaA	b2507
guaC	b0104
hdfR	b3762
hdfR	b3763
hdfR	b4480
hemD	b3804
hemE	b3997
hemX	b3803
hemY	b3802
hfq	b4172
hha	b0460
hipA	b1507
hipB	b1508
hisA	b2024
hisB	b2022
hisC	b2021
hisD	b2020
hisF	b2025
hisG	b2019
hisH	b2023
hisJ	b2309
hisL	b2018
hisM	b2307
hisP	b2306
hisQ	b2308
hisS	b2514
holA	b0640
holB	b1099
holC	b4259
holD	b4372
holE	b1842
hpt	b0125
hrpA	b1413
htpG	b0473
htpX	b1829
htrE	b0139
hupA	b4000
hyaA	b0972
hyaB	b0973
hyaD	b0975
hyaE	b0976
hyaF	b0977
hybB	b2995
hybC	b2994
hybD	b2993
hybE	b2992
hybF	b2991
hybG	b2990
hycI	b2717
hydN	b2713
hyfC	b2483
hyfD	b2484
hyfE	b2485
hyfF	b2486
hyfG	b2487
hyfH	b2488
hyfI	b2489
hyfJ	b2490
hyfR	b2491
hypA	b2726
hypC	b2728
iap	b2753
ibsA	b4667
ibsB	b4668
ibsC	b4665
ibsD	b4664
ibsE	b4666
icdC	b4519
iclR	b4018
idlP	b4722
ileV	b0202
ileX	b3069
ileY	b2652
ilvB	b3671
ilvC	b3774
ilvD	b3771
ilvE	b3770
ilvI	b0077
ilvL	b3766
ilvM	b3769
ilvN	b3670
ilvX	b4669
ilvY	b3773
insA1	b0022
insA2	b0265
insA3	b0275
insA4	b4516
insA5	b1894
insA6	b3444
insA7	b4294
insA9	b4709
insB1	b0021
insB2	b0264
insB3	b0274
insB4	b0988
insB5	b1893
insB6	b3445
insB7	b4563
insB7	b4564
insB7	b4576
insB9	b4710
insE1	b0298
insE2	b0373
insE3	b0540
insE4	b1027
insE5	b2088
insH21	b4711
insI2	b4708
insI2	b1404
insM	b4561
intG	b1936
intQ	b1579
intZ	b2442
iroK	b4706
ispA	b0421
ispZ	b4809
ivbL	b3672
katE	b1732
katG	b3942
kbl	b3617
kch	b1250
kdgT	b3909
kdpE	b0694
kdpF	b4513
kdsA	b1215
kdsB	b0918
kilS	b4833
lacA	b0342
lacI	b0345
lacY	b0343
lacZ	b0344
ldrA	b4419
ldrB	b4421
ldrC	b4423
ldrD	b4453
lepA	b2569
leuA	b0074
leuB	b0073
leuC	b0072
leuD	b0071
leuO	b0076
leuT	b3798
leuU	b3174
leuZ	b1909
lit	b1139
livF	b3454
livM	b3456
lomR	b1369
lomR	b1371
lomR	b4570
lpxA	b0181
lysA	b2838
lysQ	b0749
lysR	b2839
lysU	b4129
lysZ	b0748
malE	b4034
malF	b4033
malG	b4032
malH	b4807
malI	b1620
malS	b3571
malX	b1621
malY	b1622
malZ	b0403
map	b0168
marB	b1532
mazG	b2781
mcrC	b4345
mdh	b3236
melR	b4118
menB	b2262
menC	b2261
menD	b2264
menE	b2260
mepA	b2328
metA	b4013
metC	b3008
metF	b3941
metG	b2114
metH	b4019
metJ	b3938
metR	b3828
metW	b2815
metY	b3171
mfd	b1114
mglB	b2150
mgrR	b4698
mgtL	b4702
mgtT	b4775
mhpA	b0347
mhpB	b0348
mhpC	b0349
mhpE	b0352
mhpF	b0351
mhpR	b0346
modA	b0763
mokA	b4647
mokB	b1420
motR	b4828
mreC	b3250
mreD	b3249
mrp	b2113
mrr	b4351
msbA	b0914
msyB	b1051
mtlD	b3600
mtlR	b3601
mtr	b3161
mukB	b0924
murC	b0091
murD	b0088
murE	b0085
murG	b0090
mutL	b4170
nac	b1988
nadC	b0109
nagA	b0677
nanA	b3225
nanT	b3224
narJ	b1226
narK	b1223
narP	b2193
narQ	b2469
narS	b4813
ndh	b1109
ndk	b2518
nei	b0714
nfo	b2159
nfrA	b0568
nfrB	b0569
nhaB	b1186
ninE	b0548
nirB	b3365
nirC	b3367
nirD	b3366
nlpA	b3661
nlpC	b1708
nlpD	b2742
nrdD	b4238
nrdE	b2675
nrfA	b4070
nth	b1633
nuoA	b2288
nuoB	b2287
nuoE	b2285
nuoF	b2284
nuoG	b2283
nuoH	b2282
nuoI	b2281
nuoJ	b2280
nuoK	b2279
nuoL	b2278
nuoN	b2276
nusA	b3169
nusG	b3982
ogrK	b2082
ogt	b1335
ompG	b1319
ompT	b0565
oppA	b1243
oppB	b1244
oppC	b1245
oppD	b1246
oppF	b1247
osmB	b1283
osmC	b1482
otsA	b1896
oweE	b4692
oxyS	b4458
paaK	b1398
pabA	b3360
pabB	b1812
pabC	b1096
panB	b0134
panC	b0133
panD	b0131
panF	b3258
parC	b3019
pawZ	b4643
pcm	b2743
pcnB	b0143
pdxA	b0052
pdxH	b1638
pdxJ	b2564
pepE	b4021
pepN	b0932
pepP	b2908
pepQ	b3847
pepT	b1127
perR	b0254
pfkA	b3916
pfkB	b1723
pgi	b4025
pgk	b2926
pgpB	b1278
pgsA	b1912
pheA	b2599
pheP	b0576
pheT	b1713
phnC	b4106
phnF	b4102
phnG	b4101
phnH	b4100
phnI	b4099
phnJ	b4098
phnK	b4097
phnL	b4096
phnM	b4095
phnN	b4094
phnO	b4093
phnP	b4092
phoP	b1130
phoQ	b1129
pitB	b2987
pldA	b3821
pldB	b3825
plsB	b4041
plsX	b1090
pmrD	b2259
pmrR	b4703
pncB	b0931
pntA	b1603
pntB	b1602
pnuC	b0751
potA	b1126
potB	b1125
potC	b1124
potD	b1123
potE	b0692
potF	b0854
potG	b0855
potH	b0856
potI	b0857
poxB	b0871
ppa	b4226
ppdA	b2826
ppdD	b0108
ppiB	b0525
ppk	b2501
ppx	b2502
prfH	b0236
priB	b4201
priC	b0467
proP	b4111
psaA	b4645
psd	b4160
psiF	b0384
pspB	b1305
pspC	b1306
pspD	b1307
pspE	b1308
pspH	b4758
pssL	b4782
pta	b2297
purH	b4006
purR	b1658
purT	b1849
pykA	b1854
pykF	b1676
pyrB	b4245
pyrC	b1062
pyrD	b0945
pyrE	b3642
pyrF	b1281
pyrG	b2780
pyrI	b4244
raiZ	b4805
ralA	b4714
rbsK	b3752
rbsR	b3753
rbsZ	b4804
rcsB	b2217
rcsC	b2218
rcsF	b0196
rdlA	b4420
rdlB	b4422
rdlC	b4424
rdlD	b4454
recC	b2822
recJ	b2892
recO	b2565
recQ	b3822
recR	b0472
recT	b1349
relE	b1563
rem	b1561
rhaA	b3903
rhaB	b3904
rhaD	b3902
rhaT	b3907
rhlE	b0797
rhoL	b3782
rhsA	b3593
rhsB	b3482
rhsC	b0700
rhsD	b0497
rhsE	b1456
ribA	b1277
rimI	b4373
rimL	b1427
rirA	b4760
rlpA	b0633
rnb	b1286
rnd	b1804
rnhB	b0183
rnk	b0610
rnpA	b3704
rnpB	b3123
rnt	b1652
rph	b3643
rplB	b3317
rplC	b3320
rplE	b3308
rplF	b3305
rplI	b4203
rplJ	b3985
rplL	b3986
rplM	b3231
rplN	b3310
rplO	b3301
rplP	b3313
rplQ	b3294
rplR	b3304
rplS	b2606
rplU	b3186
rplW	b3318
rplX	b3309
rplY	b2185
rpmB	b3637
rpmC	b3312
rpmD	b3302
rpmE	b3936
rpmF	b1089
rpmG	b3636
rpmI	b1717
rpsB	b0169
rpsC	b3314
rpsG	b3341
rpsH	b3306
rpsI	b3230
rpsK	b3297
rpsM	b3298
rpsN	b3307
rpsP	b2609
rpsR	b4202
rpsS	b3316
rpsU	b3065
rrfA	b3855
rrfB	b3971
rrfC	b3759
rrfD	b3274
rrfE	b4010
rrfG	b2588
rrfH	b0205
rrlA	b3854
rrlB	b3970
rrlC	b3758
rrlD	b3275
rrlE	b4009
rrlG	b2589
rrlH	b0204
rrsA	b3851
rrsB	b3968
rrsC	b3756
rrsD	b3278
rrsE	b4007
rrsG	b2591
rrsH	b0201
rseB	b2571
rseC	b2570
rseD	b4725
rspA	b1581
rspB	b1580
ruvA	b1861
ruvB	b1860
ruvC	b1863
rybA	b4416
rydC	b4597
ryfD	b4609
ryjB	b4624
rzoD	b4510
rzoQ	b4689
rzoR	b4528
sapA	b1294
sapB	b1293
sapC	b1292
sapF	b1290
sbcC	b0397
sbmA	b0377
sbp	b3917
sdaA	b1814
sdaB	b2797
sdiA	b1916
sdsN	b4719
secB	b3609
secD	b0408
secF	b0409
serA	b2913
serB	b4388
serS	b0893
serW	b0883
serX	b1032
sfmA	b0530
sfmC	b0531
sfmD	b0532
sfmH	b0533
sgcB	b4565
sgrT	b4662
sieB	b1353
slp	b3506
slyA	b1642
slyB	b1641
slyD	b3349
slyX	b3348
smf	b3286
smf	b3285
smf	b4473
smg	b3284
sodA	b3908
sodB	b1656
sodC	b1646
sohB	b1272
sokA	b4614
sokB	b4429
sokE	b4700
sokX	b4701
solA	b1059
soxS	b4062
speA	b2938
speB	b2937
speC	b2965
speD	b0120
speE	b0121
speF	b0693
speFL	b4803
speG	b1584
spf	b3864
spoT	b3650
sppA	b1766
spy	b1743
sroH	b4691
sseB	b2522
sspB	b3228
sucB	b0727
sucC	b0728
sucD	b0729
surA	b0053
talA	b2464
tap	b1885
tatD	b3841
tatD	b3840
tatD	b4483
tdcA	b3118
tdcC	b3116
tdcG	b3111
tdcG	b3112
tdcG	b4471
tdcR	b3119
tdh	b3616
tdk	b1238
tehA	b1429
tehB	b1430
tesB	b0452
thiC	b3994
thiM	b2104
thrB	b0003
thrC	b0004
thrL	b0001
thrS	b1719
thrT	b3979
thrU	b3976
thrV	b3273
thrW	b0244
thyA	b2827
tig	b0436
timP	b4812
timR	b4811
tktB	b2465
tolR	b0738
torA	b0997
torC	b0996
torD	b0998
torI	b4501
torR	b0995
tpr	b1229
treB	b4240
treF	b3519
treR	b4241
trg	b1421
trkA	b3290
trkG	b1363
trkH	b3849
trmD	b2607
trpB	b1261
trpS	b3384
tsf	b0170
ttcC	b4638
tyrA	b2600
tyrB	b4054
tyrP	b1907
tyrR	b1323
tyrS	b1637
ubiC	b4039
udk	b2066
udp	b3831
ugpC	b3450
ugpE	b3451
ugpQ	b3449
uhpA	b3669
uhpB	b3668
uhpC	b3667
uhpT	b3666
uhpU	b4829
umuD	b1183
ung	b2580
uof	b4637
uraA	b2497
ushA	b0480
uspA	b3495
uvrC	b1913
uxaB	b1521
uxuA	b4322
uxuB	b4323
uxuR	b4324
valV	b1665
valW	b1666
vsr	b1960
wcaA	b2059
wcaB	b2058
wcaC	b2057
wcaD	b2056
wcaE	b2055
wcaF	b2054
wcaJ	b2047
wcaK	b2045
wrbA	b1004
wza	b2062
wzb	b2061
wzc	b2060
xapB	b2406
xerC	b3811
xylA	b3565
xylB	b3564
xylE	b4031
xylG	b3567
xylH	b3568
xylR	b3569
xylZ	b4834
yaaA	b0006
yaaI	b0013
yaaJ	b0007
yaaW	b0011
yaaX	b0005
yaaY	b0024
yabI	b0065
yabP	b4659
yabP	b0056
yabQ	b4659
yabQ	b0057
yabR	b4726
yacC	b0122
yacG	b0101
yacH	b0117
yacL	b0119
yacM	b4727
yadC	b0135
yadE	b0130
yadG	b0127
yadH	b0128
yadK	b0136
yadL	b0137
yadM	b0138
yadN	b0141
yadS	b0157
yadW	b4728
yadX	b4765
yaeH	b0163
yaeI	b0164
yaeP	b4406
yaeQ	b0190
yaeR	b0187
yafC	b0208
yafD	b0209
yafE	b0210
yafF	b4503
yafJ	b0223
yafL	b0227
yafN	b0232
yafO	b0233
yafP	b0234
yafQ	b0225
yafS	b0213
yafT	b0217
yafU	b0218
yafV	b0219
yafW	b0246
yafX	b0248
yafY	b0251
yafZ	b0252
yagA	b0267
yagB	b0266
yagE	b0268
yagF	b0269
yagG	b0270
yagH	b0271
yagJ	b0276
yagK	b0277
yagL	b0278
yagM	b0279
yagN	b0280
yagU	b0287
yahB	b0316
yahC	b0317
yahD	b0318
yahE	b0319
yahF	b0320
yahG	b0321
yahH	b0322
yahI	b0323
yahJ	b0324
yahK	b0325
yahL	b0326
yahM	b0327
yahN	b0328
yahO	b0329
yahV	b4730
yaiA	b0389
yaiI	b0387
yaiL	b0354
yaiO	b0358
yaiP	b0363
yaiS	b0364
yaiW	b0378
yaiY	b0379
yaiZ	b0380
yajC	b0407
yajD	b0410
yajG	b0434
yajI	b0412
yajO	b0419
yajQ	b0426
yajR	b0427
ybaA	b0456
ybaB	b0471
ybaE	b0445
ybaK	b0481
ybaM	b0466
ybaN	b0468
ybaP	b0482
ybaQ	b0483
ybaT	b0486
ybaY	b0453
ybbA	b0495
ybbC	b0498
ybbD	b0500
ybbD	b0501
ybbJ	b0488
ybbO	b0493
ybbP	b0496
ybcH	b0567
ybcI	b0527
ybcJ	b0528
ybcK	b0544
ybcL	b0545
ybcM	b0546
ybcN	b0547
ybcO	b0549
ybcV	b0558
ybcW	b0559
ybcY	b0562
ybdD	b4512
ybdF	b0579
ybdG	b0577
ybdJ	b0580
ybdK	b0581
ybdL	b0600
ybdM	b0601
